   ,ΤΙΤΛΟΣ,ΣΗΜΑ,ΠΕΡΙΦΕΡΕΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ_ΕΝΟΤΗΤΑ,ΤΥΠΟΣ,ΤΑΞΗ,ΔΙΕΥΘΥΝΣΗ,ΤΚ,ΔΗΜΟΣ,ΔΗΜΟΤΙΚΗ_ΕΝΟΤΗΤΑ,EMAIL,ΤΗΛΕΦΩΝΟ,ΕΠΙΧΕΙΡΗΜΑΤΙΑΣ,ΙΔΙΟΚΤΗΤΗΣ,ΕΤΟΣ_ΠΡΩΤΗΣ_ΛΕΙΤΟΥΡΓΙΑΣ,ΣΥΝΟΛΟ ΚΛΙΝΩΝ,ΣΥΝΟΛΟ ΔΩΜΑΤΙΩΝ
8315,ΜΑΙΣΤΡΑΛΙ,1177Κ013Α0925400,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,3Α,ΓΑΛΗΣΑΣΑΝΩ ΣΥΡΟΥ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,ΑΝΩ ΣΥΡΟΥ,,22810 42059,ΑΝΤΩΝΙΟΣ ΒΑΜΒΑΚΑΡΗΣ,ΑΝΤΩΝΙΟΣ ΒΑΜΒΑΚΑΡΗΣ,1989,60,31
8316,ΝΗΣΑΚΙ,1177Κ013Α0125300,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,3Α,ΝΗΣΑΚΙ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,22810 28200/1,ΑΕ ΝΗΣΑΚΙ ΞΕΝ/ΚΕΣ κ ΤΟΥΡ/ΚΕΣ ΕΠΙΧ/ΣΕΙΣ,ΑΕ ΝΗΣΑΚΙ ΞΕΝ/ΚΕΣ κ ΤΟΥΡ/ΚΕΣ ΕΠΙΧ/ΣΕΙΣ,1968,78,42
8317,ΣΑΝΤΑ ΜΑΡΙΑ,1177Κ013Α0125600,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,3Α,ΑΖΟΛΙΜΝΟΣ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,22810 61803,ΚΩΝ/ΝΟΣ & ΜΑΡΙΑ ΒΑΜΒΑΚΟΥΡΗ [ΚΟΙΝΩΝΙΑ ΑΣΤ.ΔΙΚ.],ΚΩΝ/ΝΟΣ & ΜΑΡΙΑ ΒΑΜΒΑΚΟΥΡΗ,1998,17,10
8318,ΥΠΑΤΙΑ,1177Κ013Α0301300,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,3Α,ΜΠΑΜΠΑΓΙΩΤΟΥ 3,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,,ΝΑΝΣΥ ΛΕΦΕΜΠΡ,ΝΑΝΣΥ ΛΕΦΕΜΠΡ,1981,19,9
8319,ΑΚΤΗ ΔΕΛΦΙΝΙΟΥ,1177Κ014Α0299600,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,4Α,ΓΑΛΗΣΣΑΣ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,2281042924,ΑΞΕ ΙΩΣΗΦ ΒΟΥΤΣΙΝΟΣ,ΑΞΕ ΙΩΣΗΦ ΒΟΥΤΣΙΝΟΣ,1991,320,171
8320,ΕΛΕΑΝΑ,1177Κ014Α0146700,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,4Α,ΠΟΣΕΙΔΩΝΙΑ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,22810 42601-2,ΕΛΕΑΝΑ Ε.Π.Ε.  ΞΕΝ. Κ' ΤΟΥΡ. ΕΠΙΧ.,ΧΑΛΑΡΗΣ ΝΙΚΟΛΑΟΣ-ΖΑΡΜΠΟΝΗΣ ΕΥΑΓΓΕΛΟΣ-ΑΛΕΞΑΝΔΡΟΣ,1979,114,57
8321,ΧΩΡΙΟ ΦΑΡΟΣ,1177Κ014Α0305700,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,4Α,ΑΖΟΛΙΜΝΟΣ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,2281061661,"""ΞΕΝ.ΤΟΥΡ.ΕΠΙΧ.ΑΦΟΙ ΜΑΥΡΟΥ ΑΕ """"ΜΑΥΡΟΣ ΜΠΗΤΣ""""""","""ΞΕΝ.ΤΟΥΡ.ΕΠΙΧ.ΑΦΟΙ ΜΑΥΡΟΥ ΑΕ """"ΜΑΥΡΟΣ ΜΠΗΤΣ""""""",1998,127,60
8322,ΑΙΟΛΟΣ ΜΠΕΥ,1178Κ010Β0142800,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Κλασικού Τύπου,0Β,,842 00,ΤΗΝΟΥ,,,22830 23339,ΑΝΤΩΝΗΣ ΑΛΟΙΜΟΝΟΣ,"""ΑΕ ΤΟΥΡ.ΞΕΝ.ΕΠΙΧ/ΣΕΙΣ """"ΠΡΕΛΦΟ""""""",1982,131,69
8323,ΑΛΩΝΙΑ,1178Κ043Α0143000,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Κλασικού Τύπου,0Β,ΑΓΙΑ ΣΟΦΙΑ,842 00,ΤΗΝΟΥ,,,22830 23541,ΑΛΒΕΡΤΗΣ ΣΤΥΛΙΑΝΟΣ κ ΣΙΑ Ο.Ε.,ΑΛΒΕΡΤΗΣ ΣΤΥΛΙΑΝΟΣ κ ΣΙΑ Ο.Ε.,1982,56,30
8324,ΒΙΔΑΛΗΣ ΣΤΟΥΝΤΙΟΣ,1178Κ013Α0143500,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Κλασικού Τύπου,0Β,ΚΙΟΝΙΑ,842 00,ΤΗΝΟΥ,,,22830 22686,ΒΙΔΑΛΗΣ ΣΩΤΗΡΙΟΣ,ΒΙΔΑΛΗΣ ΣΩΤΗΡΙΟΣ,2000,41,21
8325,ΘΕΟΞΕΝΕΙΑ,1178Κ010Β0144000,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Κλασικού Τύπου,0Β,,842 00,ΤΗΝΟΥ,,,,Α.ΓΚΙΩΝ-κ ΣΙΑ Ο.Ε,ΔΗΜΟΣ ΤΗΝΟΥ,1963,59,31
8326,ΜΠΑΝΓΚΑΛΟΥΣ ΚΑΡΛΟΣ.,1178Κ010Β0147700,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Κλασικού Τύπου,0Β,ΑΓΙΟΣ ΙΩΑΝΝΗΣ,842 00,ΤΗΝΟΥ,,,22830 24159,ΜΑΡΙΝΑ ΒΙΔΑΛΗ.,ΜΑΡΙΝΑ ΒΙΔΑΛΗ.,1990,28,15
8327,ΤΗΝΙΟΝ,1178Κ013Α0144700,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Κλασικού Τύπου,0Β,ΧΩΡΑ,842 00,ΤΗΝΟΥ,,,210 3831262,ΑΙΚΑΤΕΡΙΝΗ ΧΑΤΖΗΛΟΥΗ,ΙΟΥΛΙΑ κ ΚΩΝ/ΝΟΣ ΧΑΤΖΗΛΟΥΗΣ κ ΕΥΑΓΓΕΛΙΑ ΤΣΟΥΡΑ,1960,40,20
8328,ΠΕΡΑΣΤΡΑ,1178Κ050Β0012301,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Παραδοσιακό κατάλυμα,0Β,ΠΕΡΑΣΤΡΑ,842 00,ΤΗΝΟΥ,,,2283051740,ΚΑΠΕΤΑΝΙΟΣ ΙΣΙΔΩΡΟΣ,ΚΑΠΕΤΑΝΙΟΣ ΙΣΙΔΩΡΟΣ,2009,16,5
8329,ΣΤΑΥΡΟΔΡΟΜΙΑ,1178Κ050Β0011101,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Παραδοσιακό κατάλυμα,0Β,ΤΡΙΠΟΤΑΜΟΣΕΞΩΜΒΟΥΡΓΟΥ,842 00,ΤΗΝΟΥ,ΕΞΩΜΒΟΥΡΓΟΥ,,2283024775,ΔΙΑΜΑΝΤΟΠΟΥΛΟΥ ΟΥΡΑΝΙΑ Κ΄ ΣΙΑ Ε.Ε.,ΔΙΑΜΝΤΟΠΟΥΛΟΥ ΟΥΡΑΝΙΑ Κ'ΣΙΑ Ε.Ε.,2009,14,4
8330,ΑΡΓΩ,1178Κ010Γ0143100,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Κλασικού Τύπου,0Γ,"ΑΓΚΑΛΗ,",842 00,ΤΗΝΟΥ,,,22830 22588,ΕΥΑΓΓΕΛΟΣ ΠΑΡΑΣΚΕΥΑΣ,ΕΥΑΓΓΕΛΟΣ ΠΑΡΑΣΚΕΥΑΣ,1976,34,18
8331,ΘΑΛΕΙΑ,1178Κ012Α0143900,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Κλασικού Τύπου,0Γ,,842 00,ΤΗΝΟΥ,,,,ΕΥΑΓ. ΑΠΕΡΓΗ,ΝΙΚ. ΤΡΙΤΣΙΝΗΣ-ΕΥΑΓ. ΑΠΕΡΓΗ,1981,50,26
8332,ΛΕΑΝΔΡΟΣ,1178Κ010Γ0144100,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Κλασικού Τύπου,0Γ,,842 00,ΤΗΝΟΥ,,,22830 24390,ΜΙΧΑΛΗΣ ΠΑΡΑΒΑΛΟΣ,ΑΝΝΑ κ ΙΑΚΩΒΟΣ ΠΑΡΑΒΑΛΟΣ.-,1990,20,11
8333,ΛΗΤΩ,1178Κ012Α0144200,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Κλασικού Τύπου,0Γ,ΧΩΡΑ,842 00,ΤΗΝΟΥ,,,22830 22791-2,ΑΦΟΙ ΚΟΝΔΥΛΑ κ ΣΙΑ ΟΕ,ΦΩΤΙΟΣ κ ΜΙΧΑΗΛ ΚΟΝΔΥΛΑΣ -ΕΥΑΓΓΕΛΙΑ ΠΑΠΑΔΟΠΟΥΛΟΥ,1974,47,25
8334,ΑΚΤΗ ΒΥΖΑΝΤΙΟ-BYZANTIO BEACH,1178Κ032Α0210000,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,0Γ,ΛΙΒΑΔΙ-ΣΚΥΛΑΝΤΑΡΙ,842 00,ΤΗΝΟΥ,,,22830 22421,ΑΕ ΙΩΑΝ.ΛΕΒΑΝΤΗΣ Τ.Ξ.Ε,ΑΕ ΙΩΑΝ.ΛΕΒΑΝΤΗΣ Τ.Ξ.Ε,1993,0,0
8335,ΑΙΓΛΗ,1178Κ011Α0142700,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Κλασικού Τύπου,1Α,ΕΛΕΥΘΕΡΙΟΥ ΒΑΝΙΖΕΛΟΥ,842 00,ΤΗΝΟΥ,,,22830 22650,ΟΕ ΓΕΩΡΓΙΟΣ Δ.ΛΕΚΚΟΣ κ ΣΙΑ,ΛΕΚΚΟΣ ΔΗΜΗΤΡΙΟΣ,1970,37,24
8336,ΕΛΕΑΝΑ,1178Κ011Α0143800,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Κλασικού Τύπου,1Α,ΧΩΡΑ,842 00,ΤΗΝΟΥ,,,2283022561,ΒΕΛΟΥΔΙΟΥ ΕΛΕΝΗ,ΒΕΛΟΥΔΙΟΥ ΕΛΕΝΗ,1973,25,17
8337,ΑΝΕΜΟΕΣΣΑ ΙΙ,1178Κ031Α0004801,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,1Α,ΙΣΤΕΡΝΙΑ ΤΗΝΟΥ,84200,ΤΗΝΟΥ,,,210 6446998,ΡΟΜΒΟΥ ΕΛΙΣΑΒΕΤ,ΡΟΜΒΟΥ ΕΛΙΣΑΒΕΤ & ΓΙΑΝΝΑΚΑΡΗΣ ΠΑΝΑΓΙΩΤΗΣ,2006,24,15
8338,ΑΚΤΗ ΑΓΚΑΛΗ,1178Κ012Α0303401,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Κλασικού Τύπου,2Α,ΑΓΚΑΛΗ,84200,ΤΗΝΟΥ,,,2283022588,ΑΛΕΞΑΝΔΡΑ ΠΑΡΑΣΚΕΥΑ Κ΄ ΑΡΓΥΡΩ Ο.Ε.,ΠΑΡΑΣΚΕΥΑ ΑΛΕΞΑΝΔΡΑ Κ' ΑΡΓΥΡΩ Ο.Ε.,1976,30,16
8339,ΑΣΤΕΡΙΑ,1178Κ012Α0143200,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Κλασικού Τύπου,2Α,ΧΩΡΑ,842 00,ΤΗΝΟΥ,,,22830 22132,ΜΑΡΙΝΑ ΣΟΥΡΑΝΗ ΚΑΙ ΣΙΑ Ο.Ε.,ΣΙΤΑΡΑ Μ.- Κ.ΧΑΤΖΗΛΟΥΗΣ,1973,96,52
8340,ΑΥΡΑ,1178Κ012Α0301900,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Κλασικού Τύπου,2Α,ΒΑΣ. ΚΩΝ/ΝΟΥ 4-6,842 00,ΤΗΝΟΥ,,,22830 22242,ΓΕΡΑΡΔΗΣ ΓΕΩΡΓΙΟΣ,ΚΛΕΙΤΩ ΓΕΡΑΡΔΗ Κ' ΓΕΩΡΓΙΟΣ,1960,27,14
8341,ΑΦΡΟΔΙΤΗ,1178Κ012Α0143400,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Κλασικού Τύπου,2Α,,842 00,ΤΗΝΟΥ,,,22830 22456,ΖΑΦΕΙΡΙΑ ΜΑΧΛΗ Κ' ΑΝΝΑ ΜΑΡΙΑ ΦΩΣΚΟΛΟΥ ΟΕ,ΖΑΦΕΙΡΙΑ κ ΕΥΑΓΓΕΛΙΑ ΜΑΧΛΗ,1981,50,28
8342,ΒΥΖΑΝΤΙΟΝ,1178Κ012Α0887300,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Κλασικού Τύπου,2Α,Ζ.ΑΛΑΒΑΝΟΥ 28ΤΗΝΟΥ,842 00,ΤΗΝΟΥ,ΤΗΝΟΥ,,22830 22421-2,ΒΥΖΑΝΤΙΟ ΞΕΝ.κ ΤΟΥΡ.ΕΠΙΧ/ΣΕΙΣ ΑΕ,ΒΥΖΑΝΤΙΟ ΞΕΝ.κ ΤΟΥΡ.ΕΠΙΧ/ΣΕΙΣ ΑΕ,1978,54,28
8343,ΔΕΛΦΙΝΙΑ,1178Κ012Α0914400,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Κλασικού Τύπου,2Α,ΒΑΣΙΛΕΩΣ ΠΑΥΛΟΥ 10ΤΗΝΟΥ,842 00,ΤΗΝΟΥ,ΤΗΝΟΥ,,22830 22289,ΟΕ Μ.ΚΑΡΔΑΜΙΤΣΗ - Ε.ΚΟΡΝΑΡΟΣ,ΚΛΗΡΟΝΟΜΟΙ ΕΛΕΥΘ.κ ΝΙΚ.ΑΛΑΒΑΝΟΥ,1970,69,35
8344,ΜΕΛΤΕΜΙ,1178Κ012Α0324600,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Κλασικού Τύπου,2Α,ΤΗΝΟΥ,842 00,ΤΗΝΟΥ,ΤΗΝΟΥ,,22830 22881,ΣΤΑΜΑΤΙΟΣ ΚΡΙΚΕΛΗΣ,ΣΤΑΜΑΤΙΟΣ ΚΡΙΚΕΛΗΣ,1974,77,43
8345,ΟΑΣΙΣ,1178Κ012Α0296500,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Κλασικού Τύπου,2Α,ΧΩΡΑ,842 00,ΤΗΝΟΥ,,,22830 25051,Γ.ΜΑΡΑΓΚΟΣ- Χ. ΜΠΟΥΝΤΟΥΒΗ Κ' ΣΙΑ Ο.Ε.,Γ.Χ.Ν. ΜΑΡΑΓΚΟΣ - Χ.Μ.Ν.ΕΥ.ΜΠΟΥΝΤΟΥΒΗ,1976,78,40
8346,ΠΟΣΕΙΔΩΝΙΟΝ,1178Κ012Α0144500,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Κλασικού Τύπου,2Α,,842 00,ΤΗΝΟΥ,,,22830 23122,ΜΑΡΙΑ ΣΤΕΦΑΝΟΥ,ΜΑΡΙΑ ΣΤΕΦΑΝΟΥ,1962,73,39
8347,ΤΗΝΟΣ ΜΠΛΟΥ,1178Κ012Α0015801,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Κλασικού Τύπου,2Α,ΧΩΡΑ,842 00,ΤΗΝΟΥ,,,22830 29160-3,ΧΑΡΑΛΑΜΠΟΠΟΥΛΟΣ ΠΕΤΡΟΣ,ΧΑΡΑΛΑΜΠΟΠΟΥΛΟΣ ΠΕΤΡΟΣ,2004,38,20
8348,ΦΑΒΙΕ ΣΟΥΖΑΝ-FAVIE SUZANNE,1178Κ012Α0144800,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Κλασικού Τύπου,2Α,ΑΝΤ. ΣΩΧΟΥ 22,842 00,ΤΗΝΟΥ,,,22830 22693,ΣΚΛΑΒΟΣ ΦΑΒΙΕΡΟΣ,ΣΚΛΑΒΟΣ ΦΑΒΙΕΡΟΣ & ΙΩΑΝΝΗΣ,1971,63,34
8349,ΦΟΙΝΙΚΑΣ ΤΗΝΟΥ,1178Κ012Α0008701,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Κλασικού Τύπου,2Α,ΤΗΝΟΣ,842 00,ΤΗΝΟΥ,,,2283025942,ΒΙΔΑΛΗ ΡΑΜΠΕΛΑ,ΒΙΔΑΛΗ ΡΑΜΠΕΛΑ Κ' ΣΤΥΛΙΑΝΝΗ,2008,31,14
8350,ΩΚΕΑΝΙΣ,1178Κ012Α0145100,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Κλασικού Τύπου,2Α,ΧΩΡΑ,842 00,ΤΗΝΟΥ,,,22830 22452,ΑΦΟΙ ΓΚΥΖΗ ΞΕΝΟΔΟΧΕΙΑΚΕΣ & ΤΟΥΡ/ΚΕΣ ΕΠΙ/ΣΕΙΣ Α.Ε.,ΑΦΟΙ ΓΚΥΖΗ ΞΕΝΟΔΟΧΕΙΑΚΕΣ & ΤΟΥΡ/ΚΕΣ ΕΠΙΧ/ΣΕΙΣ Α.Ε,1971,82,38
8351,ΑΚΤΗ ΑΙΓΑΙΟΥ,1178Κ032Α0300600,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΑΓ ΠΑΝΤΕΛΕΗΜΩΝ ΚΟΙΝΟΤ,842 00,ΤΗΝΟΥ,,,22830 24248,ΑΕ ΑΚΤΗ ΑΙΓΑΙΟΥ ΑΝΩΝ.ΞΕΝ/ΚΗ κ ΤΟΥΡ/ΚΗ ΕΤΑΙΡΙΑ,ΑΕ ΑΚΤΗ ΑΙΓΑΙΟΥ ΑΝΩΝ.ΞΕΝ/ΚΗ κ ΤΟΥΡ/ΚΗ ΕΤΑΙΡΙΑ,1993,88,35
8352,ΟΝΑΡ,1178Κ032Α0892201,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΧΩΡΑΤΗΝΟΥ,842 00,ΤΗΝΟΥ,ΤΗΝΟΥ,,2283023575,ΣΚΛΑΒΟΥΝΟΥ ΟΥΡΑΝΙΑ,ΣΚΛΑΒΟΥΝΟΥ ΟΥΡΑΝΙΑ,,39,15
8353,ΧΡΥΣΗ ΑΚΤΗ,1178Κ032Α0145000,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΑΓΙΟΣ ΦΩΚΑΣ,842 00,ΤΗΝΟΥ,,,22830 24139,ΑΚΤΗ ΒΡΕΚΑΤΡΟ ΞΕΝ.& ΤΟΥΡ.ΕΠΙΧ.ΑΕ,ΑΚΤΗ ΒΡΕΚΑΤΡΟ ΞΕΝ.& ΤΟΥΡ.ΕΠΙΧ.ΑΕ,1983,42,18
8354,ΑΓΕΡΙ,1178Κ013Α0005901,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Κλασικού Τύπου,3Α,ΝΙΚ.ΛΟΥΒΑΡΗ 6,842 00,ΤΗΝΟΥ,,,2283023940/23868,ΜΟΡΑΣΙ Α.Ε.,ΜΟΡΑΣΙ Α.Ε.,2007,35,17
8355,ΑΚΡΟΓΙΑΛΙ.,1178Κ013Α0209800,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Κλασικού Τύπου,3Α,ΑΓ.ΣΩΣΤΗΣ-ΣΚΥΛΑΝΤΑΡΙ,842 00,ΤΗΝΟΥ,,,22830 24798,Α.& Μ. ΠΑΛΑΜΑΡΗ &  Λ.ΚΟΝΤΟΝΙΚΟΛΑΟΥ Ο.Ε.,ΑΛΕΞΑΝΔΡΑ & ΜΑΡΙΑ ΠΑΛΑΜΑΡΗ,1993,31,15
8356,ΑΝΘΕΙΑ,1178Κ013Α0006801,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Κλασικού Τύπου,3Α,ΑΓ.ΦΩΚΑΣΤΗΝΟΥ,84200,ΤΗΝΟΥ,ΤΗΝΟΥ,,2283025021,ΕΙΚΟΝΕΣ ΚΥΚΛΑΔΩΝ ΑΞΤΕΕ,ΕΙΚΟΝΕΣ ΚΥΚΛΑΔΩΝ ΑΞΤΕΕ,2006,55,25
8357,ΠΟΡΤΟ ΡΑΦΑΕΛ,1178Κ043Α0308901,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Κλασικού Τύπου και Επιπλωμένων Διαμερισμάτων,3Α,ΠΟΡΤΟ ΑΓ. ΙΩΑΝΝΗ,842 00,ΤΗΝΟΥ,,,2283022403,ΠΟΡΤΟ ΡΑΦΑΕΛ Α.Ε.,ΠΟΡΤΟ ΡΑΦΑΕΛ Α.Ε.,2010,84,30
8358,ΑΛΤΑΝΑ,1178Κ033Α0925501,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,3Α,ΛΕΩΦ.ΣΤΑΥΡΟΥ ΚΙΟΝΙΩΝΤΗΝΟΥ,842 00,ΤΗΝΟΥ,ΤΗΝΟΥ,,2283025102,ΙΑΚΩΒΟΣ ΚΑΙ ΚΛΕΟΠΑΤΡΑ Ο.Ε.,ΑΔΡΙΩΤΗΣ ΙΑΚΩΒΟΣ ΚΑΙ ΚΛΕΟΠΑΤΡΑ,2007,26,13
8359,ΚΑΒΟΣ ΑΗ-ΣΩΣΤΗΣ - CAVOS AISOSTIS,1178Κ034Α0210200,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,3Α,"ΚΑΒΟΣ, ΑΓΙΟΥ ΣΩΣΤΗ",842 00,ΤΗΝΟΥ,,,22830 24224-5,ΚΑΒΟΣ ΑΗ ΣΩΣΤΗΣ Α.Ε.,ΚΑΒΟΣ ΑΗ ΣΩΣΤΗΣ Α.Ε.,1990,0,0
8360,ΑΚΤΑΙ ΤΗΝΟΥ-TINOS BEACH,1178Κ014Α0142900,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Κλασικού Τύπου,4Α,ΚΙΟΝΙΑ,842 00,ΤΗΝΟΥ,,,22830 22626,ΑΝΩΝΥΜΗ ΞΕΝ.& ΤΟΥΡ.ΕΤΑΙΡΙΑ DEVELOP ΑΕ,ΑΕ ΞΕΝ/ΚΗ & ΤΟΥΡ/ΚΗ ΕΤΑΙΡΕΙΑ ΑΚΤΑΙ ΤΗΝΟΥ,1971,374,194
8361,ΠΟΡΤΟ ΤΑΝΓΚΟ,1178Κ014Α0317200,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Κλασικού Τύπου,4Α,ΑΓ.ΙΩΑΝΝΗΣ ΠΟΡΤΟ,842 00,ΤΗΝΟΥ,,,22830 24411,ΚΥΚΛΑΔΕΣ Α.Ε.Ξ.Τ.Ε.,ΚΥΚΛΑΔΕΣ Α.Ε. Ξ.Τ.Ε.,1992,98,51
8362,ΤΗΝΟΣ ΘΕΡΕΤΡΟΝ,1178Κ034Α0316601,Νοτίου Αιγαίου (Κυκλάδες),Τήνου,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,4Α,ΧΩΡΑ,842 00,ΤΗΝΟΥ,,,2283026006,ΨΑΛΤΗΣ ΑΝΤΩΝΙΟΣ,ΨΑΛΤΗΣ ΑΝΤΩΝΙΟΣ,2011,20,6
8363,ΠΕΤΡΙΝΟ,0727Κ05ΑΑ0185501,Θεσσαλίας,Τρικάλων,Παραδοσιακό κατάλυμα,ΑΑ, ΚΑΣΤΡΑΚΙ ΚΑΛΑΜΠΑΚΑΣΚΑΛΑΜΠΑΚΑΣ,42200,ΚΑΛΑΜΠΑΚΑΣ,ΚΑΛΑΜΠΑΚΑΣ,,2432078105,ΣΩΤΗΡΙΟΥ ΧΡΗΣΤΟΣ,ΣΩΤΗΡΙΟΥ ΧΡΗΣΤΟΣ,2005,10,5
8364,ΠΑΝΕΛΛΗΝΙΟΝ,0727Κ050Α0164600,Θεσσαλίας,Τρικάλων,Παραδοσιακό κατάλυμα,0Α,ΒΑΣ.ΟΛΓΑΣ 2 ΤΡΙΚΑΛΑ ΘΕΣΣΑΛΙΑΣΤΡΙΚΚΑΙΩΝ,421 00,ΤΡΙΚΚΑΙΩΝ,ΤΡΙΚΚΑΙΩΝ,,24310 27350,ΕΥΑΓΓΕΛΟΣ & ΜΑΡΙΝΑ ΓΕΩΡΓΙΟΥ ΟΕ,ΤΣΑΝΑΚΑ ΑΣΠΑΣΙΑ & ΜΠΑΡΡΟΟΥ ΕΥΑΓΓΕΛΙΑ,1978,22,12
8365,ΠΑΝΕΛΛΗΝΙΟΝ,0727Κ050Α0213300,Θεσσαλίας,Τρικάλων,Παραδοσιακό κατάλυμα,0Α,ΒΑΣ.ΟΛΓΑΣ 2 ΤΡΙΚΑΛΑΤΡΙΚΚΑΙΩΝ,421 00,ΤΡΙΚΚΑΙΩΝ,ΤΡΙΚΚΑΙΩΝ,,24310 27350,ΕΥΑΓΓΕΛΟΣ ΚΑΙ ΜΑΡΙΝΑ ΓΕΩΡΓΙΟΥ,ΤΣΑΝΑΚΑ ΑΣΠΑΣΙΑ ΚΑΙ ΜΠΑΡΡΟΟΥ ΕΥΑΓΓΕΛΙΑ,1978,40,18
